gene,relevance,abs_relevance,input_value
DGKB,-13.469027,13.469027,2.616386
DCLK2,12.377762,12.377762,2.6301708
PAWR,-10.344912,10.344912,-2.3087502
ARPP21,8.840796,8.840796,2.385089
CNP,6.613259,6.613259,4.225023
KCNN2,6.507879,6.507879,2.0932417
CNN2,-6.424383,6.424383,-2.2295933
CRYL1,-6.380639,6.380639,1.533261
CAMKV,6.3430166,6.3430166,2.390558
IQCK,6.247127,6.247127,1.8667966
GRB7,-6.069555,6.069555,-3.2153432
JPH4,6.0500073,6.0500073,2.105054
TMOD2,5.2708726,5.2708726,2.466228
SEMA3F,5.2632213,5.2632213,-3.2543895
GATA6,5.1726465,5.1726465,-2.8039074
MAPK13,-4.9758554,4.9758554,-3.31222
GRM3,4.8665423,4.8665423,3.7231781
NPPA,4.757592,4.757592,2.657449
MAP2,4.6697907,4.6697907,1.7187203
GPX8,-4.40914,4.40914,-2.8964412
IRX5,4.374159,4.374159,-0.92889756
CEACAM1,-4.124558,4.124558,-2.1084247
PLEK2,-4.1188245,4.1188245,-3.2445383
TAGLN2,-3.9558425,3.9558425,-2.3366208
PDE8B,-3.8830986,3.8830986,1.7178012
MYO5B,-3.7322395,3.7322395,-2.1490524
TSHR,-3.7232878,3.7232878,1.4521531
CASP6,3.6647735,3.6647735,-2.391824
PDZD4,-3.5164158,3.5164158,2.2238364
S100A11,-3.4924786,3.4924786,-2.0181754
KCNK5,3.482904,3.482904,-1.7421871
KCNJ10,-3.258925,3.258925,2.913312
NEUROD1,-3.2204683,3.2204683,2.1128182
MYO1D,-3.1615245,3.1615245,-0.69658554
ENPEP,-3.1548703,3.1548703,-1.2248482
DCX,3.0590668,3.0590668,2.2949378
MYO1C,-3.0362384,3.0362384,-2.7004807
SCNN1A,2.905697,2.905697,-2.507607
ACSBG1,-2.8598351,2.8598351,3.2113862
PAX8,2.7467165,2.7467165,-1.637364
BCL2L15,-2.5557983,2.5557983,-0.48806432
TBX3,2.4368849,2.4368849,-1.1380581
GJB1,2.3830488,2.3830488,1.324543
C3orf52,2.3747187,2.3747187,-2.7323363
CDK5R1,-2.341262,2.341262,1.6579521
KCNQ2,2.3259022,2.3259022,2.5038729
BEST3,2.2404013,2.2404013,2.23157
ANXA2,-2.101893,2.101893,-2.517528
ANXA8,-2.0373495,2.0373495,-0.9643586
PLXNB3,-2.0130985,2.0130985,1.3785051
CASP8,1.9730359,1.9730359,-2.0466764
FOXA1,1.88009,1.88009,-1.3443424
